0	1	2	3	4	5	label
-787696.7333128658	303076.44188262324	116483.49103477522	60357.601705783374	-162182.2389002747	-247844.16569139957	Pt
-182914.30164868265	-231929.65614425743	212288.02272462714	-32715.374079377714	117442.61262227573	173016.7137852082	Co
-398600.4684962232	77144.21329044408	126260.67825771049	28294.90845138332	36392.440874571446	126178.28974520763	Pt
-514115.88318510575	192555.19915877114	174524.55825011173	37294.93954160401	6623.359316427656	122376.34547078541	Pt
800583.4228126892	-189551.35980478712	306628.6161083705	-438463.8130034866	288645.9845493079	-268091.5603925996	Pt
-357582.865107594	47919.50752160678	169610.0343443972	35937.113155947336	-14610.042949007808	108032.582765248	Co
-778378.9256167818	300425.70850589423	109678.46626087885	58597.145516877295	-160239.01694818275	-247564.25925164516	Pt
-784525.0526960484	304862.1694578886	106539.39018544379	55487.3298067117	-160179.56601349256	-254405.02643978142	Pt
911551.2617275583	-183457.9045567004	261037.4269882761	-515747.0563834912	377682.4939903162	-291678.8468084438	Pt
-557498.8713782891	221162.7602510431	143237.50389642306	64771.04416386941	3084.3646273596783	105267.12160077984	Co
-542790.4080245498	241377.7835468887	57437.4081282077	3799.5669113395516	-53215.22329813337	-209777.0540277759	Pt
-409864.7967265342	43430.55195212053	159739.56533162476	69781.42795129567	96865.29690290845	40664.307521227245	Pt
-48698.74375581339	54963.42837541674	-514661.07657103724	-215667.92727221275	6028.862371461067	105209.78009814762	Pt
-321290.1931087961	-4684.306191718371	17590.629940253366	150162.1770315837	67980.42481404013	53616.76930955973	Pt
1188459.7465323887	321659.99220939586	105793.6668838062	-277441.41154559073	-416425.56561248464	86119.30520995552	Co
-47227.217485160734	-118429.05225450499	-630976.1896697272	-125602.78121397077	-118703.14618332851	43249.74920380494	Co
-376064.9945573769	91812.92828142177	217608.81094671533	55475.43359050996	97488.81347381996	38998.74237061473	Pt
-445285.9532864547	134523.26402430367	52291.48324321777	84863.0239751131	-47303.996634505624	-135153.12766019782	Pt
-596362.3996514421	247746.9129975805	85180.2916141947	34676.33502116696	-91964.44077958942	-194645.70274025432	Pt
585149.2988161084	-665508.9365837274	330958.9777980665	211013.4738271743	-167693.73479731736	-357637.4912030627	Co
185879.93927351464	-586216.5676269911	-371458.0039585402	59844.864906787625	-215656.14653560083	-218822.87229118907	Pt
606958.4472060568	-436885.92205188476	302943.4287799658	343312.3444611997	-343380.47994363477	-438097.0425017626	Co
-67393.1927074798	-9116.812185059867	-530838.1768644252	-170841.76125233519	-60096.41656992209	114320.87655267766	Pt
1198776.4147596965	801316.5972691183	-425490.1754838897	48934.42521183796	339884.8056210917	391387.34831121506	Co
30765.34300450043	-281598.1606274522	-320714.7918993897	-80821.53004378617	23358.34574403102	-14216.319970886077	Co
427234.05976075644	-486591.0142436715	863343.0444802737	-55851.68203338436	155940.545245453	221317.02830823066	Co
139760.71690636416	-210497.05639805162	-129469.0801054627	-383018.8531625145	268611.59747439716	-131288.78139631482	Pt
714478.217133714	-688391.16628746	616900.7829619033	163705.37228027903	-37349.748886907546	379064.6092195868	Pt
-18837.663671995128	-315412.6321410637	-562513.7248884066	-86933.47881192055	-190631.01449022774	-51557.71961520565	Pt
-275368.45518683287	48336.361930783496	2826.098468084674	50023.0730874317	44414.70392194918	79521.04325611159	Co
340327.8674231347	-331760.2843658413	-461779.7567003947	-172981.07954988198	-189996.42298644243	-60982.27969548698	Pt
1054670.8082273442	595373.1096834764	-194939.70128941236	189389.87316914133	-836809.9898782654	273394.68307619164	Co
-558847.144490318	212445.57372915457	44287.855286409205	15303.51494022892	-91780.56090992423	-192235.58350277622	Pt
